date,participant,trial,isPrac,isStationary,nTarg,targOnset,targFlash,targRT,targCor,targGap,FA_rt
2021-11-16,ph01,0,1,1,8,1.652287,1,2.464374,1,0.07,NaN
2021-11-16,ph01,0,1,1,8,2.486762,2,0,0,0.07,NaN
2021-11-16,ph01,0,1,1,8,3.33052,2,4.119315,1,0.07,NaN
2021-11-16,ph01,0,1,1,8,4.275561,1,4.840985,1,0.07,NaN
2021-11-16,ph01,0,1,1,8,5.118512,2,5.651445,1,0.07,NaN
2021-11-16,ph01,0,1,1,8,6.062463,1,0,0,0.07,5.817777
2021-11-16,ph01,0,1,1,8,6.906927,1,0,0,0.07,5.817777
2021-11-16,ph01,0,1,1,8,7.817199,1,0,0,0.07,5.817777
2021-11-16,ph01,1,1,1,8,1.676072,2,0,0,0.07,1.376136
2021-11-16,ph01,1,1,1,8,2.5095,2,3.208614,1,0.06,1.376136
2021-11-16,ph01,1,1,1,8,3.464252,2,4.209196,1,0.06,1.376136
2021-11-16,ph01,1,1,1,8,4.397767,2,5.052168,1,0.05,1.376136
2021-11-16,ph01,1,1,1,8,5.330298,2,5.941513,1,0.05,1.376136
2021-11-16,ph01,1,1,1,8,6.252306,2,6.840331,1,0.04000001,1.376136
2021-11-16,ph01,1,1,1,8,7.172888,2,7.717505,1,0.04000001,1.376136
2021-11-16,ph01,1,1,1,8,8.08357,1,8.906193,1,0.04000001,1.376136
2021-11-16,ph01,2,1,1,8,1.799841,1,2.320645,1,0.04000001,NaN
2021-11-16,ph01,2,1,1,8,2.64404,2,3.131694,1,0.03000001,NaN
2021-11-16,ph01,2,1,1,8,3.554011,2,4.065033,1,0.03000001,NaN
2021-11-16,ph01,2,1,1,8,4.443978,1,5.252976,0,0.03000001,NaN
2021-11-16,ph01,2,1,1,8,5.286644,2,5.852825,1,0.02000001,NaN
2021-11-16,ph01,2,1,1,8,6.174921,2,6.663791,1,0.02000001,NaN
2021-11-16,ph01,2,1,1,8,7.063564,1,7.496341,0,0.02000001,NaN
2021-11-16,ph01,2,1,1,8,7.90729,1,8.494986,0,0.02000001,NaN
2021-11-16,ph01,3,1,1,7,1.354264,1,0,0,0.02000001,NaN
2021-11-16,ph01,3,1,1,7,2.187716,1,2.198765,1,0.02000001,NaN
2021-11-16,ph01,3,1,1,7,3.031644,1,3.553972,1,0.02000001,2.964798
2021-11-16,ph01,3,1,1,7,3.87467,1,4.375108,1,0.02000001,2.964798
2021-11-16,ph01,3,1,1,7,4.719337,1,5.152369,1,0.02000001,2.964798
2021-11-16,ph01,3,1,1,7,5.563318,1,5.962276,1,0.02000001,2.964798
2021-11-16,ph01,3,1,1,7,6.452004,2,6.972948,1,0.01000001,2.964798
2021-11-16,ph01,4,1,1,8,1.788199,1,2.298615,1,0.01000001,NaN
2021-11-16,ph01,4,1,1,8,2.631925,2,3.209611,1,0.01,NaN
2021-11-16,ph01,4,1,1,8,3.509159,2,3.975248,1,0.01,NaN
2021-11-16,ph01,4,1,1,8,4.386333,1,5.05316,1,0.01,NaN
2021-11-16,ph01,4,1,1,8,5.230649,2,5.763857,1,0.01,NaN
2021-11-16,ph01,4,1,1,8,6.10862,2,6.663521,1,0.01,NaN
2021-11-16,ph01,4,1,1,8,6.985947,1,7.662874,0,0.01,NaN
2021-11-16,ph01,4,1,1,8,7.818638,1,8.640226,1,0.01,NaN
2021-11-16,ph01,5,1,1,7,1.510141,1,2.288115,0,0.01,NaN
2021-11-16,ph01,5,1,1,7,2.354356,1,3.031661,1,0.01,NaN
2021-11-16,ph01,5,1,1,7,3.197514,2,3.676188,1,0.01,NaN
2021-11-16,ph01,5,1,1,7,4.064369,2,4.575464,1,0.01,NaN
2021-11-16,ph01,5,1,1,7,4.941914,1,5.597383,1,0.01,NaN
2021-11-16,ph01,5,1,1,7,5.785931,1,6.307859,0,0.01,NaN
2021-11-16,ph01,5,1,1,7,7.8293,1,8.473269,1,0.01,NaN
2021-11-16,ph01,6,1,1,7,1.82098,2,0,0,0.01,2.664353
2021-11-16,ph01,6,1,1,7,2.664353,2,3.287359,1,0.01,2.664353
2021-11-16,ph01,6,1,1,7,3.542325,2,4.064566,1,0.01,2.664353
2021-11-16,ph01,6,1,1,7,4.408746,1,4.875207,0,0.01,2.664353
2021-11-16,ph01,6,1,1,7,5.252414,1,5.729956,0,0.01,2.664353
2021-11-16,ph01,6,1,1,7,6.087182,1,6.907231,0,0.01,2.664353
2021-11-16,ph01,6,1,1,7,7.240577,1,7.817618,1,0.01,2.664353
2021-11-16,ph01,7,1,1,8,1.77634,2,2.45389,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,2.665509,2,3.153716,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,3.532339,1,4.287461,0,0.01,NaN
2021-11-16,ph01,7,1,1,8,4.375898,1,4.89811,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,5.309022,2,5.953538,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,6.186844,1,6.732222,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,7.030691,2,7.841463,1,0.01,NaN
2021-11-16,ph01,7,1,1,8,7.908194,1,8.620061,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,1.577264,2,2.154963,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,2.454978,2,3.03291,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,3.321715,2,3.998819,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,4.199489,1,4.709866,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,5.086467,1,5.80966,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,5.931351,2,0,0,0.01,NaN
2021-11-16,ph01,8,1,1,8,6.808216,2,7.297192,1,0.01,NaN
2021-11-16,ph01,8,1,1,8,7.674933,2,8.285135,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,1.764782,1,2.508828,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,2.60892,2,3.231133,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,3.496925,1,4.125089,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,4.340503,1,4.860855,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,5.178315,1,5.739679,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,6.010972,2,6.584281,1,0.01,NaN
2021-11-16,ph01,9,1,1,7,7.473562,1,8.167797,1,0.01,NaN
2021-11-16,ph01,10,1,1,8,1.709849,1,2.471051,0,0.01,NaN
2021-11-16,ph01,10,1,1,8,2.554426,2,3.108991,1,0.01,NaN
2021-11-16,ph01,10,1,1,8,3.442385,1,4.120286,1,0.01,NaN
2021-11-16,ph01,10,1,1,8,4.275909,1,4.807068,0,0.01,NaN
2021-11-16,ph01,10,1,1,8,5.125251,2,0,0,0.01,NaN
2021-11-16,ph01,10,1,1,8,5.962463,2,6.593643,1,0.01,NaN
2021-11-16,ph01,10,1,1,8,6.842317,2,7.700158,1,0.01,NaN
2021-11-16,ph01,10,1,1,8,7.710942,2,8.316779,1,0.01,NaN
2021-11-16,ph01,11,1,1,7,1.466068,1,2.298645,1,0.01,NaN
2021-11-16,ph01,11,1,1,7,2.310357,2,2.971206,1,0.01,NaN
2021-11-16,ph01,11,1,1,7,3.209792,1,3.864805,0,0.01,NaN
2021-11-16,ph01,11,1,1,7,4.065874,2,4.570135,1,0.01,NaN
2021-11-16,ph01,11,1,1,7,4.939782,2,5.469601,1,0.01,NaN
2021-11-16,ph01,11,1,1,7,5.819897,1,6.250837,0,0.01,NaN
2021-11-16,ph01,11,1,1,7,7.618444,2,8.218476,1,0.01,NaN
2021-11-16,ph01,12,1,1,8,1.759984,2,2.233195,1,0.01,NaN
2021-11-16,ph01,12,1,1,8,2.643703,1,3.098512,0,0.01,NaN
2021-11-16,ph01,12,1,1,8,3.482867,1,3.968411,0,0.01,NaN
